mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
13.0,8,360.0,175.0,3821,11.0,73,1,amc ambassador brougham
18.0,6,225.0,105.0,3121,16.5,73,1,plymouth valiant
16.0,6,250.0,100.0,3278,18.0,73,1,chevrolet nova custom
18.0,6,232.0,100.0,2945,16.0,73,1,amc hornet
18.0,6,250.0,88.0,3021,16.5,73,1,ford maverick
23.0,6,198.0,95.0,2904,16.0,73,1,plymouth duster
11.0,8,400.0,150.0,4997,14.0,73,1,chevrolet impala
12.0,8,400.0,167.0,4906,12.5,73,1,ford country
13.0,8,360.0,170.0,4654,13.0,73,1,plymouth custom suburb
12.0,8,350.0,180.0,4499,12.5,73,1,oldsmobile vista cruiser
18.0,6,232.0,100.0,2789,15.0,73,1,amc gremlin
21.0,4,140.0,72.0,2401,19.5,73,1,chevrolet vega
19.0,4,122.0,85.0,2310,18.5,73,1,ford pinto
21.0,6,155.0,107.0,2472,14.0,73,1,mercury capri v6
15.0,8,350.0,145.0,4082,13.0,73,1,chevrolet monte carlo s
16.0,8,400.0,230.0,4278,9.5,73,1,pontiac grand prix
15.0,8,318.0,150.0,3399,11.0,73,1,dodge dart custom
11.0,8,350.0,180.0,3664,11.0,73,1,oldsmobile omega
20.0,6,198.0,95.0,3102,16.5,74,1,plymouth duster
21.0,6,200.0,,2875,17.0,74,1,ford maverick
19.0,6,232.0,100.0,2901,16.0,74,1,amc hornet
15.0,6,250.0,100.0,3336,17.0,74,1,chevrolet nova
26.0,4,122.0,80.0,2451,16.5,74,1,ford pinto
25.0,4,140.0,75.0,2542,17.0,74,1,chevrolet vega
16.0,6,250.0,100.0,3781,17.0,74,1,chevrolet chevelle malibu classic
16.0,6,258.0,110.0,3632,18.0,74,1,amc matador
18.0,6,225.0,105.0,3613,16.5,74,1,plymouth satellite sebring
16.0,8,302.0,140.0,4141,14.0,74,1,ford gran torino
13.0,8,350.0,150.0,4699,14.5,74,1,buick century luxus (sw)
14.0,8,318.0,150.0,4457,13.5,74,1,dodge coronet custom (sw)
14.0,8,302.0,140.0,4638,16.0,74,1,ford gran torino (sw)
14.0,8,304.0,150.0,4257,15.5,74,1,amc matador (sw)
28.0,4,90.0,75.0,2125,14.5,74,1,dodge colt
19.0,6,225.0,95.0,3264,16.0,75,1,plymouth valiant custom
18.0,6,250.0,105.0,3459,16.0,75,1,chevrolet nova
15.0,6,250.0,72.0,3432,21.0,75,1,mercury monarch
15.0,6,250.0,72.0,3158,19.5,75,1,ford maverick
16.0,8,400.0,170.0,4668,11.5,75,1,pontiac catalina
15.0,8,350.0,145.0,4440,14.0,75,1,chevrolet bel air
16.0,8,318.0,150.0,4498,14.5,75,1,plymouth grand fury
14.0,8,351.0,148.0,4657,13.5,75,1,ford ltd
17.0,6,231.0,110.0,3907,21.0,75,1,buick century
16.0,6,250.0,105.0,3897,18.5,75,1,chevroelt chevelle malibu
15.0,6,258.0,110.0,3730,19.0,75,1,amc matador
18.0,6,225.0,95.0,3785,19.0,75,1,plymouth fury
21.0,6,231.0,110.0,3039,15.0,75,1,buick skyhawk
20.0,8,262.0,110.0,3221,13.5,75,1,chevrolet monza 2+2
13.0,8,302.0,129.0,3169,12.0,75,1,ford mustang ii
23.0,4,140.0,83.0,2639,17.0,75,1,ford pinto
20.0,6,232.0,100.0,2914,16.0,75,1,amc gremlin
23.0,4,140.0,78.0,2592,18.5,75,1,pontiac astro
18.0,6,171.0,97.0,2984,14.5,75,1,ford pinto
19.0,6,232.0,90.0,3211,17.0,75,1,amc pacer
25.0,4,140.0,92.0,2572,14.9,76,1,capri ii
26.0,4,98.0,79.0,2255,17.7,76,1,dodge colt
17.5,8,305.0,140.0,4215,13.0,76,1,chevrolet chevelle malibu classic
16.0,8,318.0,150.0,4190,13.0,76,1,dodge coronet brougham
15.5,8,304.0,120.0,3962,13.9,76,1,amc matador
14.5,8,351.0,152.0,4215,12.8,76,1,ford gran torino
22.0,6,225.0,100.0,3233,15.4,76,1,plymouth valiant
22.0,6,250.0,105.0,3353,14.5,76,1,chevrolet nova
24.0,6,200.0,81.0,3012,17.6,76,1,ford maverick
22.5,6,232.0,90.0,3085,17.6,76,1,amc hornet
29.0,4,85.0,52.0,2035,22.2,76,1,chevrolet chevette
24.5,4,98.0,60.0,2164,22.1,76,1,chevrolet woody
20.0,6,225.0,100.0,3651,17.7,76,1,dodge aspen se
18.0,6,250.0,78.0,3574,21.0,76,1,ford granada ghia
18.5,6,250.0,110.0,3645,16.2,76,1,pontiac ventura sj
17.5,6,258.0,95.0,3193,17.8,76,1,amc pacer d/l
26.5,4,140.0,72.0,2565,13.6,76,1,ford pinto
13.0,8,318.0,150.0,3940,13.2,76,1,plymouth volare premier v8
16.5,8,350.0,180.0,4380,12.1,76,1,cadillac seville
13.0,8,350.0,145.0,4055,12.0,76,1,chevy c10
13.0,8,302.0,130.0,3870,15.0,76,1,ford f108
13.0,8,318.0,150.0,3755,14.0,76,1,dodge d100
30.0,4,111.0,80.0,2155,14.8,77,1,buick opel isuzu deluxe
25.5,4,122.0,96.0,2300,15.5,77,1,plymouth arrow gs
17.5,8,305.0,145.0,3880,12.5,77,1,chevrolet caprice classic
17.0,8,260.0,110.0,4060,19.0,77,1,oldsmobile cutlass supreme
15.5,8,318.0,145.0,4140,13.7,77,1,dodge monaco brougham
15.0,8,302.0,130.0,4295,14.9,77,1,mercury cougar brougham
17.5,6,250.0,110.0,3520,16.4,77,1,chevrolet concours
20.5,6,231.0,105.0,3425,16.9,77,1,buick skylark
19.0,6,225.0,100.0,3630,17.7,77,1,plymouth volare custom
18.5,6,250.0,98.0,3525,19.0,77,1,ford granada
16.0,8,400.0,180.0,4220,11.1,77,1,pontiac grand prix lj
15.5,8,350.0,170.0,4165,11.4,77,1,chevrolet monte carlo landau
15.5,8,400.0,190.0,4325,12.2,77,1,chrysler cordoba
16.0,8,351.0,149.0,4335,14.5,77,1,ford thunderbird
24.5,4,151.0,88.0,2740,16.0,77,1,pontiac sunbird coupe
25.5,4,140.0,89.0,2755,15.8,77,1,ford mustang ii 2+2
30.5,4,98.0,63.0,2051,17.0,77,1,chevrolet chevette
33.5,4,98.0,83.0,2075,15.9,77,1,dodge colt m/m
36.1,4,98.0,66.0,1800,14.4,78,1,ford fiesta
19.9,8,260.0,110.0,3365,15.5,78,1,oldsmobile cutlass salon brougham
19.4,8,318.0,140.0,3735,13.2,78,1,dodge diplomat
20.2,8,302.0,139.0,3570,12.8,78,1,mercury monarch ghia
19.2,6,231.0,105.0,3535,19.2,78,1,pontiac phoenix lj
20.5,6,200.0,95.0,3155,18.2,78,1,chevrolet malibu
20.2,6,200.0,85.0,2965,15.8,78,1,ford fairmont (auto)
25.1,4,140.0,88.0,2720,15.4,78,1,ford fairmont (man)
20.5,6,225.0,100.0,3430,17.2,78,1,plymouth volare
19.4,6,232.0,90.0,3210,17.2,78,1,amc concord
20.6,6,231.0,105.0,3380,15.8,78,1,buick century special
20.8,6,200.0,85.0,3070,16.7,78,1,mercury zephyr
18.6,6,225.0,110.0,3620,18.7,78,1,dodge aspen
18.1,6,258.0,120.0,3410,15.1,78,1,amc concord d/l
19.2,8,305.0,145.0,3425,13.2,78,1,chevrolet monte carlo landau
17.7,6,231.0,165.0,3445,13.4,78,1,buick regal sport coupe (turbo)
18.1,8,302.0,139.0,3205,11.2,78,1,ford futura
17.5,8,318.0,140.0,4080,13.7,78,1,dodge magnum xe
30.0,4,98.0,68.0,2155,16.5,78,1,chevrolet chevette
30.9,4,105.0,75.0,2230,14.5,78,1,dodge omni
23.2,4,156.0,105.0,2745,16.7,78,1,plymouth sapporo
23.8,4,151.0,85.0,2855,17.6,78,1,oldsmobile starfire sx
21.5,6,231.0,115.0,3245,15.4,79,1,pontiac lemans v6
19.8,6,200.0,85.0,2990,18.2,79,1,mercury zephyr 6
22.3,4,140.0,88.0,2890,17.3,79,1,ford fairmont 4
20.2,6,232.0,90.0,3265,18.2,79,1,amc concord dl 6
20.6,6,225.0,110.0,3360,16.6,79,1,dodge aspen 6
17.0,8,305.0,130.0,3840,15.4,79,1,chevrolet caprice classic
17.6,8,302.0,129.0,3725,13.4,79,1,ford ltd landau
16.5,8,351.0,138.0,3955,13.2,79,1,mercury grand marquis
18.2,8,318.0,135.0,3830,15.2,79,1,dodge st. regis
16.9,8,350.0,155.0,4360,14.9,79,1,buick estate wagon (sw)
15.5,8,351.0,142.0,4054,14.3,79,1,ford country squire (sw)
19.2,8,267.0,125.0,3605,15.0,79,1,chevrolet malibu classic (sw)
18.5,8,360.0,150.0,3940,13.0,79,1,chrysler lebaron town @ country (sw)
35.7,4,98.0,80.0,1915,14.4,79,1,dodge colt hatchback custom
27.4,4,121.0,80.0,2670,15.0,79,1,amc spirit dl
23.0,8,350.0,125.0,3900,17.4,79,1,cadillac eldorado
23.9,8,260.0,90.0,3420,22.2,79,1,oldsmobile cutlass salon brougham
34.2,4,105.0,70.0,2200,13.2,79,1,plymouth horizon
34.5,4,105.0,70.0,2150,14.9,79,1,plymouth horizon tc3
28.4,4,151.0,90.0,2670,16.0,79,1,buick skylark limited
28.8,6,173.0,115.0,2595,11.3,79,1,chevrolet citation
26.8,6,173.0,115.0,2700,12.9,79,1,oldsmobile omega brougham
33.5,4,151.0,90.0,2556,13.2,79,1,pontiac phoenix
32.1,4,98.0,70.0,2120,15.5,80,1,chevrolet chevette
28.0,4,151.0,90.0,2678,16.5,80,1,chevrolet citation
26.4,4,140.0,88.0,2870,18.1,80,1,ford fairmont
24.3,4,151.0,90.0,3003,20.1,80,1,amc concord
19.1,6,225.0,90.0,3381,18.7,80,1,dodge aspen
27.9,4,156.0,105.0,2800,14.4,80,1,dodge colt
23.6,4,140.0,,2905,14.3,80,1,ford mustang cobra
27.2,4,135.0,84.0,2490,15.7,81,1,plymouth reliant
26.6,4,151.0,84.0,2635,16.4,81,1,buick skylark
25.8,4,156.0,92.0,2620,14.4,81,1,dodge aries wagon (sw)
23.5,6,173.0,110.0,2725,12.6,81,1,chevrolet citation
30.0,4,135.0,84.0,2385,12.9,81,1,plymouth reliant
39.0,4,86.0,64.0,1875,16.4,81,1,plymouth champ
34.7,4,105.0,63.0,2215,14.9,81,1,plymouth horizon 4
34.4,4,98.0,65.0,2045,16.2,81,1,ford escort 4w
29.9,4,98.0,65.0,2380,20.7,81,1,ford escort 2h
22.4,6,231.0,110.0,3415,15.8,81,1,buick century
26.6,8,350.0,105.0,3725,19.0,81,1,oldsmobile cutlass ls
20.2,6,200.0,88.0,3060,17.1,81,1,ford granada gl
17.6,6,225.0,85.0,3465,16.6,81,1,chrysler lebaron salon
28.0,4,112.0,88.0,2605,19.6,82,1,chevrolet cavalier
27.0,4,112.0,88.0,2640,18.6,82,1,chevrolet cavalier wagon
34.0,4,112.0,88.0,2395,18.0,82,1,chevrolet cavalier 2-door
31.0,4,112.0,85.0,2575,16.2,82,1,pontiac j2000 se hatchback
29.0,4,135.0,84.0,2525,16.0,82,1,dodge aries se
27.0,4,151.0,90.0,2735,18.0,82,1,pontiac phoenix
24.0,4,140.0,92.0,2865,16.4,82,1,ford fairmont futura
23.0,4,151.0,,3035,20.5,82,1,amc concord dl
38.0,4,105.0,63.0,2125,14.7,82,1,plymouth horizon miser
36.0,4,98.0,70.0,2125,17.3,82,1,mercury lynx l
25.0,6,181.0,110.0,2945,16.4,82,1,buick century limited
38.0,6,262.0,85.0,3015,17.0,82,1,oldsmobile cutlass ciera (diesel)
26.0,4,156.0,92.0,2585,14.5,82,1,chrysler lebaron medallion
22.0,6,232.0,112.0,2835,14.7,82,1,ford granada l
36.0,4,135.0,84.0,2370,13.0,82,1,dodge charger 2.2
27.0,4,151.0,90.0,2950,17.3,82,1,chevrolet camaro
27.0,4,140.0,86.0,2790,15.6,82,1,ford mustang gl
32.0,4,135.0,84.0,2295,11.6,82,1,dodge rampage
28.0,4,120.0,79.0,2625,18.6,82,1,ford ranger
31.0,4,119.0,82.0,2720,19.4,82,1,chevy s-10
